iter	Passed	Remaining
684	1782	819
685	1784	816
686	1787	814
687	1789	811
688	1791	808
689	1794	806
690	1796	803
691	1798	800
692	1801	797
693	1803	795
694	1805	792
695	1808	789
696	1810	787
697	1813	784
698	1815	781
699	1818	779
700	1820	776
701	1823	774
702	1826	771
703	1828	768
704	1831	766
705	1833	763
706	1835	760
707	1838	758
708	1841	755
709	1843	753
710	1846	750
711	1849	748
712	1852	745
713	1854	742
714	1857	740
715	1860	737
716	1862	735
717	1864	732
718	1867	729
719	1869	727
720	1872	724
721	1874	721
722	1877	719
723	1879	716
724	1881	713
725	1884	711
726	1886	708
727	1888	705
728	1890	702
729	1893	700
730	1895	697
731	1897	694
732	1900	692
733	1902	689
734	1904	686
735	1907	684
736	1909	681
737	1911	678
738	1914	676
739	1916	673
740	1919	670
741	1922	668
742	1924	665
743	1927	663
744	1929	660
745	1931	657
746	1933	654
747	1935	652
748	1938	649
749	1940	646
750	1942	643
751	1944	641
752	1946	638
753	1949	635
754	1951	633
755	1953	630
756	1955	627
757	1957	625
758	1960	622
759	1962	619
760	1965	617
761	1967	614
762	1969	611
763	1971	609
764	1974	606
765	1976	603
766	1978	601
767	1980	598
768	1983	595
769	1985	592
770	1987	590
771	1989	587
772	1991	584
773	1993	582
774	1996	579
775	1998	576
776	2000	574
777	2003	571
778	2005	568
779	2007	566
780	2010	563
781	2012	560
782	2014	558
783	2016	555
784	2019	553
785	2021	550
786	2024	547
787	2026	545
788	2028	542
789	2030	539
790	2033	537
791	2035	534
792	2037	531
793	2039	529
794	2042	526
795	2044	523
796	2046	521
797	2048	518
798	2051	516
799	2053	513
800	2055	510
801	2057	508
802	2060	505
803	2062	502
804	2065	500
805	2067	497
806	2069	495
807	2072	492
808	2074	489
809	2076	487
810	2078	484
811	2080	481
812	2083	479
813	2085	476
814	2088	473
815	2090	471
816	2092	468
817	2094	466
818	2097	463
819	2099	460
820	2102	458
821	2105	455
822	2107	453
823	2110	450
824	2112	448
825	2115	445
826	2117	442
827	2119	440
828	2122	437
829	2124	435
830	2126	432
831	2128	429
832	2131	427
833	2133	424
834	2136	422
835	2138	419
836	2140	416
837	2142	414
838	2145	411
839	2147	409
840	2149	406
841	2152	403
842	2154	401
843	2156	398
844	2158	396
845	2161	393
846	2163	390
847	2165	388
848	2168	385
849	2170	383
850	2172	380
851	2174	377
852	2177	375
853	2179	372
854	2181	370
855	2184	367
856	2186	364
857	2188	362
858	2190	359
859	2193	357
860	2195	354
861	2197	351
862	2199	349
863	2202	346
864	2204	344
865	2206	341
866	2208	338
867	2211	336
868	2213	333
869	2215	331
870	2218	328
871	2220	325
872	2222	323
873	2225	320
874	2227	318
875	2229	315
876	2232	313
877	2234	310
878	2236	307
879	2239	305
880	2242	302
881	2244	300
882	2246	297
883	2249	295
884	2251	292
885	2253	289
886	2256	287
887	2258	284
888	2260	282
889	2263	279
890	2265	277
891	2267	274
892	2270	272
893	2272	269
894	2274	266
895	2276	264
896	2279	261
897	2281	259
898	2283	256
